Papel;Segmento;Cotação;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imóveis;Preço do m2;Aluguel por m2;Cap Rate;Vacância Média
RNGO11;Lajes Corporativas;47.1;0.096;0.0983;0.54;126040000;114215;4;2296.52;275.88;0.1201;0.1666
ROOF11;Outros;810;-0.0811;0.1648;1.04;62771000;8135;110;75.93;0.26;0.0034;0
RPRI11;Títulos e Val. Mob.;95;0.0525;0.0369;0.93;212967000;66729;0;0;0;0;0
RRCI11;Títulos e Val. Mob.;86.85;0.1202;0.159;0.91;41840600;186247;0;0;0;0;0
RURA11;Títulos e Val. Mob.;10.32;0.0634;0.0697;1.03;619195000;809013;0;0;0;0;0
RVBI11;Títulos e Val. Mob.;74.52;0.1166;0.1196;0.86;107309000;301462;0;0;0;0;0
RZAG11;Títulos e Val. Mob.;9.89;0.064;0.0904;1.03;672920000;1999270;0;0;0;0;0
RZAK11;Títulos e Val. Mob.;96.69;0.1271;0.1771;1.04;329051000;2837840;0;0;0;0;0
RZTR11;Híbrido;100.79;0.1162;0.1469;1.04;1113530000;3603270;15;2.14;0.32;0.1501;0
SADI11;Títulos e Val. Mob.;90.75;0.1155;0.1219;0.91;288604000;1050780;0;0;0;0;0
SAIC11B;Lajes Corporativas;37.88;-0.0179;0;0.69;54158600;23;1;4701.71;0;0;1
SARE11;Híbrido;68.32;0.1191;0.1112;0.7;630889000;1267360;3;2499.69;251.02;0.1004;0
SCPF11;Shoppings;6.03;0.0432;0.0381;0.48;25326000;3892;1;5164.75;792.07;0.1534;0.2334
SDIL11;Logística;91.28;0.0939;0.0997;0.93;583740000;1013980;5;1628.86;217.53;0.1335;0.0124
SEED11;Híbrido;100;0.106;0.0636;1.04;164000000;33333;0;0;0;0;0
SEQR11;Outros;63.71;0.104;0.12;0.66;102481000;221284;4;2346.62;331.35;0.1412;0
SHPH11;Shoppings;807.99;0.0568;0.0561;0.91;492026000;120184;1;14307.6;1016.85;0.0711;0.0924
SIGR11;Títulos e Val. Mob.;100;0.1115;0.01;1;38939500;49405;0;0;0;0;0
SNAG11;Híbrido;101.58;0.0192;0.0292;1;152370000;2135010;3;64.04;1.11;0.0173;0
SNCI11;Títulos e Val. Mob.;99.94;0.0684;0.159;1.02;419748000;1583670;0;0;0;0;0
SNFF11;Títulos e Val. Mob.;86.48;0.0759;0.1055;0.93;244738000;438137;0;0;0;0;0
SPTW11;Lajes Corporativas;41.35;0.1871;0.115;0.78;74347300;137547;1;5193.44;1100.55;0.2119;0
SPXS11;Híbrido;90.8;0.0095;0.0187;0.95;112428000;222272;0;0;0;0;0
SRVD11;Títulos e Val. Mob.;8.86;0.0333;0.033;11.93;853094000;216;0;0;0;0;0
TEPP11;Lajes Corporativas;72.4;0.0806;0.0807;0.8;305670000;525018;5;9465.2;844.8;0.0893;0.0726
TGAR11;Híbrido;122.83;0.0615;0.1353;1.05;1389150000;4598670;4;83.24;1.18;0.0142;0
TORD11;Híbrido;7.54;0.0519;0.1364;0.53;264287000;500806;0;0;0;0;0
TRNT11;Lajes Corporativas;125;0.0384;0.037;0.62;491945000;66536;1;7792.52;549.16;0.0705;0.48
TRXB11;Híbrido;124.9;0.0715;0.091;1.11;341041000;2841160;12;3684.23;443.85;0.1205;0
TRXF11;Híbrido;104.99;0.0842;0.0957;1.04;932483000;3910840;27;2716.84;288.81;0.1063;0
TSER11;Lajes Corporativas;105;0.1055;0.1014;1.12;126525000;514942;1;2809.19;218.44;0.0778;0
URPR11;Outros;99.25;0.0568;0.1901;0.98;1158770000;4015770;0;0;0;0;0
VCJR11;Títulos e Val. Mob.;90.46;0.1104;0.1428;0.95;1331930000;1998490;0;0;0;0;0
VCRA11;Títulos e Val. Mob.;105.9;0.0668;0.0522;1.03;207999000;185154;0;0;0;0;0
VCRI11;Títulos e Val. Mob.;9.08;0.0947;0.0879;0.94;161382000;328879;0;0;0;0;0
VCRR11;Residencial;73.5;0.1182;0.1084;0.61;147000000;96067;4;2335.48;216.23;0.0926;0
VGHF11;Híbrido;9.08;0.076;0.1731;0.97;661834000;3006260;0;0;0;0;0
VGIA11;Títulos e Val. Mob.;10.15;0.0452;0.12;1.07;741791000;3435110;0;0;0;0;0
VGIP11;Títulos e Val. Mob.;86.97;0.1029;0.1654;0.94;1025140000;3023790;0;0;0;0;0
VGIR11;Títulos e Val. Mob.;10;0.0909;0.1391;1.04;757077000;4188010;0;0;0;0;0
VIFI11;Títulos e Val. Mob.;7.47;0.2508;0.0991;0.8;60426200;146386;0;0;0;0;0
VILG11;Logística;99.49;0.0779;0.0841;0.87;1492090000;2280080;16;2528.57;239.29;0.0946;0
VINO11;Lajes Corporativas;46.7;0.0875;0.0944;0.86;773598000;1373270;10;12185.9;1065.16;0.0874;0.0039
VISC11;Shoppings;103.1;0.0861;0.0817;0.9;1824480000;2877300;19;3102.14;285.68;0.0921;0.0592
VIUR11;Outros;7.6;0.1205;0.1116;0.8;204791000;323402;6;2891.44;294.58;0.1019;0
VLOL11;Lajes Corporativas;104.2;0.0662;0.0645;1.01;185979000;132678;1;17726.1;1300.82;0.0734;0
VOTS11;Títulos e Val. Mob.;79.19;0.2397;0.1535;0.83;65562400;4748;0;0;0;0;0
VRTA11;Títulos e Val. Mob.;93.06;0.1402;0.148;0.99;1259750000;3273900;0;0;0;0;0
VSEC11;Títulos e Val. Mob.;46.25;-0.0243;0.0989;0.47;2901490;30;0;0;0;0;0
VSHO11;Shoppings;71;0.0978;0.1069;0.72;149015000;47315;3;1961.98;353.43;0.1801;0.0784
VSLH11;Outros;9.01;0.0984;0.1476;0.86;269075000;613110;0;0;0;0;0
VTLT11;Logística;88.31;0.1138;0.11;0.86;186776000;376529;1;728.92;93.52;0.1283;0
VVPR11;Híbrido;101.5;0.0899;0.0843;1.04;234036000;572952;6;5334.39;526.7;0.0987;0
VXXV11;Outros;938;-0.0041;0;1.05;247820000;995536;0;0;0;0;0
WHGR11;Híbrido;9.03;0.0381;0.0526;0.91;226558000;558739;0;0;0;0;0
WPLZ11;Shoppings;76;0.0624;0.0591;0.74;77576800;7236;1;2062.53;142.02;0.0689;0.1157
WSEC11;Títulos e Val. Mob.;101.12;0.001;0.0088;0.99;24840200;2910;0;0;0;0;0
WTSP11B;Híbrido;43.49;0.0894;0.0346;0.52;43166700;96;1;3238.6;312.41;0.0965;0.0601
XPCA11;Títulos e Val. Mob.;10;0.0507;0.0944;1.05;313902000;1773410;0;0;0;0;0
XPCI11;Títulos e Val. Mob.;83.89;0.0762;0.1437;0.88;729973000;3109770;0;0;0;0;0
XPCM11;Lajes Corporativas;13.87;0.1631;0.1299;0.27;33490100;88083;1;1494.03;0;0;0.85
XPHT11;Hotel;108.75;0.0147;0.0473;1.15;413755000;108173;11;20313.6;399.36;0.0197;0.5874
XPIN11;Outros;73.97;0.0919;0.0999;0.7;528917000;452949;100;1908.9;179.65;0.0941;0.1515
XPLG11;Logística;98.28;0.0837;0.0828;0.86;2663490000;3527090;17;2094.01;184.4;0.0881;0.0627
XPML11;Shoppings;99.08;0.0752;0.0828;0.97;2013300000;3169340;11;4923.27;346.24;0.0703;0.0339
XPPR11;Outros;36.8;0.1363;0.1334;0.49;269235000;670866;6;3743.96;509.85;0.1362;0.3474
XPSF11;Títulos e Val. Mob.;7.28;0.0983;0.1148;0.82;315240000;736200;0;0;0;0;0
XTED11;Lajes Corporativas;8.82;-0.0285;0;0.66;18419500;15285;1;2739.73;0;0;0
YUFI11;Residencial;99.25;0.0518;0.027;0.95;48895500;729;30;7813.26;782.58;0.1002;0
ZAVI11;Híbrido;130;0.0143;0.0087;1.13;120447000;9072;8;2349.67;41.9;0.0178;0.0082
ZIFI11;Híbrido;1054.99;-0.0056;0.0077;0.89;49832500;352100;0;0;0;0;0
